1525,1475,1581,1475,1581,1531,1525,1531
1637,1475,1693,1475,1693,1525,1637,1525
1737,1487,1793,1487,1793,1518,1737,1518
1850,1487,1900,1487,1900,1525,1850,1525
2143,1487,2200,1487,2200,1543,2143,1543
931,1512,968,1512,968,1550,931,1550
1743,1518,1793,1518,1793,1562,1743,1562
1637,1518,1693,1518,1693,1575,1637,1575
1531,1525,1587,1525,1587,1631,1531,1631
1843,1525,1900,1525,1900,1575,1843,1575
2150,1531,2206,1531,2206,1593,2150,1593
1737,1550,1800,1550,1800,1606,1737,1606
912,1556,968,1556,968,1612,912,1612
1637,1562,1700,1562,1700,1681,1637,1681
1856,1575,1900,1575,1900,1618,1856,1618
2162,1593,2212,1593,2212,1631,2162,1631
1743,1593,1800,1593,1800,1656,1743,1656
1850,1612,1906,1612,1906,1668,1850,1668
906,1618,968,1618,968,1675,906,1675
2162,1625,2231,1625,2231,1675,2162,1675
1531,1625,1593,1625,1593,1681,1531,1681
1743,1650,1806,1650,1806,1700,1743,1700
1862,1675,1906,1675,1906,1712,1862,1712
2168,1668,2218,1668,2218,1718,2168,1718
1650,1681,1700,1681,1700,1737,1650,1737
1743,1693,1800,1693,1800,1750,1743,1750
925,1712,956,1712,956,1756,925,1756
1868,1712,1912,1712,1912,1756,1868,1756
2168,1725,2225,1725,2225,1762,2168,1762
1656,1731,1706,1731,1706,1768,1656,1768
1750,1743,1806,1743,1806,1793,1750,1793
1856,1756,1912,1756,1912,1818,1856,1818
1656,1768,1693,1768,1693,1831,1656,1831
2168,1775,2218,1775,2218,1825,2168,1825
1750,1793,1812,1793,1812,1843,1750,1843
1856,1818,1918,1818,1918,1868,1856,1868
2175,1831,2225,1831,2225,1868,2175,1868
1768,1843,1812,1843,1812,1881,1768,1881
2187,1862,2225,1862,2225,1918,2187,1918
1862,1868,1918,1868,1918,1975,1862,1975
1756,1875,1812,1875,1812,1931,1756,1931
2175,1912,2237,1912,2237,1968,2175,1968
2175,1956,2231,1956,2231,2025,2175,2025
1862,1968,1912,1968,1912,2018,1862,2018
1750,1975,1812,1975,1812,2031,1750,2031
1875,2018,1912,2018,1912,2081,1875,2081
2187,2018,2231,2018,2231,2075,2187,2075
1756,2018,1818,2018,1818,2075,1756,2075
1750,2068,1818,2068,1818,2131,1750,2131
1862,2075,1925,2075,1925,2162,1862,2162
1756,2118,1812,2118,1812,2175,1756,2175
1862,2162,1925,2162,1925,2218,1862,2218
1750,2168,1812,2168,1812,2225,1750,2225
1756,2212,1818,2212,1818,2281,1756,2281
1781,2275,1818,2275,1818,2318,1781,2318
318,2362,387,2362,387,2381,318,2381
1331,2362,1387,2362,1387,2381,1331,2381
1106,2412,1162,2412,1162,2437,1106,2437
1675,2412,1725,2412,1725,2437,1675,2437
2018,2412,2062,2412,2062,2437,2018,2437
2075,2412,2125,2412,2125,2437,2075,2437
2137,2412,2181,2412,2181,2437,2137,2437
262,2418,325,2418,325,2443,262,2443
331,2418,387,2418,387,2437,331,2437
400,2418,475,2418,475,2437,400,2437
487,2418,550,2418,550,2437,487,2437
718,2418,768,2418,768,2437,718,2437
781,2418,862,2418,862,2437,781,2437
868,2418,937,2418,937,2437,868,2437
1812,2418,1887,2418,1887,2437,1812,2437
256,2450,312,2450,312,2468,256,2468
368,2450,418,2450,418,2475,368,2475
575,2450,618,2450,618,2475,575,2475
618,2450,681,2450,681,2475,618,2475
731,2450,793,2450,793,2475,731,2475
856,2450,912,2450,912,2468,856,2468
912,2450,962,2450,962,2468,912,2468
968,2450,1031,2450,1031,2468,968,2468
1037,2450,1087,2450,1087,2468,1037,2468
1156,2450,1225,2450,1225,2468,1156,2468
1406,2450,1450,2450,1450,2468,1406,2468
1731,2450,1768,2450,1768,2468,1731,2468
1881,2450,1950,2450,1950,2468,1881,2468
2068,2450,2118,2450,2118,2468,2068,2468
2118,2450,2168,2450,2168,2468,2118,2468
456,2456,537,2456,537,2475,456,2475
800,2456,856,2456,856,2475,800,2475
1062,2481,1131,2481,1131,2500,1062,2500
1400,2481,1468,2481,1468,2500,1400,2500
1806,2481,1862,2481,1862,2500,1806,2500
1937,2481,2000,2481,2000,2500,1937,2500
2087,2481,2150,2481,2150,2500,2087,2500
2156,2481,2225,2481,2225,2500,2156,2500
356,2487,400,2487,400,2506,356,2506
587,2487,631,2487,631,2506,587,2506
637,2487,687,2487,687,2506,637,2506
712,2487,750,2487,750,2506,712,2506
900,2487,975,2487,975,2506,900,2506
981,2487,1025,2487,1025,2506,981,2506
1968,2512,2025,2512,2025,2537,1968,2537
243,2518,293,2518,293,2537,243,2537
335,2524,398,2515,401,2537,338,2546
437,2518,493,2518,493,2537,437,2537
543,2518,600,2518,600,2537,543,2537
606,2518,687,2518,687,2543,606,2543
693,2518,743,2518,743,2537,693,2537
750,2518,793,2518,793,2543,750,2543
800,2518,850,2518,850,2537,800,2537
931,2518,993,2518,993,2537,931,2537
1031,2518,1075,2518,1075,2537,1031,2537
1125,2518,1175,2518,1175,2537,1125,2537
1175,2518,1225,2518,1225,2537,1175,2537
1537,2518,1600,2518,1600,2537,1537,2537
918,2550,968,2550,968,2575,918,2575
1018,2550,1081,2550,1081,2575,1018,2575
